               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.021167,            0.010206,           0.0056314,             0.97007,             0.99565,             0.98831,             0.82004,              0.0122,           0.0039723,          0.00030616,            0.005875,            0.005875,            0.005875
                 127,             0.02049,            0.010449,           0.0055837,             0.96266,             0.99543,             0.98746,             0.81973,            0.011587,           0.0039441,          0.00046874,            0.005842,            0.005842,            0.005842
                 128,            0.023198,            0.010149,           0.0063376,             0.97016,             0.99517,             0.98877,             0.82753,            0.011816,           0.0038082,          0.00030707,            0.005809,            0.005809,            0.005809
                 129,             0.02163,            0.010202,           0.0054705,             0.96851,             0.99422,             0.98651,             0.82525,            0.011737,           0.0038318,          0.00035549,            0.005776,            0.005776,            0.005776
                 130,            0.021751,            0.010085,           0.0058318,             0.97267,             0.99758,             0.98664,             0.82151,            0.011683,           0.0038823,          0.00029312,            0.005743,            0.005743,            0.005743
                 131,            0.022404,            0.010542,           0.0057865,              0.9715,             0.99919,             0.98601,             0.81703,            0.011766,           0.0039755,          0.00033611,             0.00571,             0.00571,             0.00571
                 132,            0.021015,            0.010268,           0.0056757,             0.97156,                   1,             0.98795,             0.83164,            0.010921,           0.0037506,           0.0003746,            0.005677,            0.005677,            0.005677
                 133,             0.02043,           0.0094041,           0.0060724,             0.97549,             0.99673,             0.98995,             0.82823,            0.011783,           0.0037777,          0.00052458,            0.005644,            0.005644,            0.005644
                 134,            0.019688,            0.010167,           0.0040213,             0.95993,             0.99938,              0.9897,             0.83955,             0.01101,           0.0038287,          0.00046513,            0.005611,            0.005611,            0.005611
                 135,            0.021348,            0.010185,           0.0059125,             0.97304,             0.99899,             0.99193,             0.82444,            0.011426,           0.0038773,           0.0003337,            0.005578,            0.005578,            0.005578
                 136,            0.020667,            0.010105,           0.0053539,             0.97554,             0.99742,             0.99194,             0.82766,            0.011674,           0.0038547,          0.00033995,            0.005545,            0.005545,            0.005545
                 137,            0.022446,            0.010139,           0.0055001,             0.95567,             0.99345,             0.98611,             0.81357,            0.011812,           0.0039824,          0.00070277,            0.005512,            0.005512,            0.005512
                 138,            0.021985,             0.01011,           0.0081373,              0.9742,             0.99866,              0.9896,             0.82914,            0.011348,           0.0037773,          0.00031817,            0.005479,            0.005479,            0.005479
                 139,             0.02161,           0.0098744,            0.004409,             0.97682,                   1,              0.9885,             0.83412,            0.010954,           0.0037709,           0.0002695,            0.005446,            0.005446,            0.005446
                 140,            0.020456,           0.0095218,           0.0064376,             0.97672,             0.99517,             0.98881,             0.82371,            0.011242,            0.003883,          0.00027254,            0.005413,            0.005413,            0.005413
                 141,            0.022022,            0.010061,           0.0051891,             0.97311,             0.99727,             0.99036,             0.81986,            0.012076,           0.0038771,          0.00029792,             0.00538,             0.00538,             0.00538
                 142,            0.021931,            0.010049,           0.0049982,             0.97583,             0.99758,             0.98909,             0.83558,            0.011578,           0.0036771,           0.0003174,            0.005347,            0.005347,            0.005347
                 143,            0.021397,            0.010055,           0.0053157,             0.97808,             0.99468,             0.98893,             0.83061,            0.011164,           0.0037642,          0.00032897,            0.005314,            0.005314,            0.005314
                 144,            0.020173,           0.0094482,           0.0045472,             0.97483,             0.99785,             0.98986,             0.83442,            0.011187,           0.0037019,          0.00029005,            0.005281,            0.005281,            0.005281
                 145,            0.019402,            0.010116,           0.0046944,             0.97744,             0.99758,             0.99095,             0.84112,            0.010746,           0.0036762,          0.00025753,            0.005248,            0.005248,            0.005248
                 146,            0.019913,           0.0096763,           0.0057107,             0.97326,             0.99862,             0.99082,             0.82944,            0.011625,           0.0037902,          0.00029738,            0.005215,            0.005215,            0.005215
                 147,            0.020157,           0.0095839,           0.0051018,             0.97372,             0.99661,             0.98968,             0.84104,            0.011329,           0.0036908,          0.00032167,            0.005182,            0.005182,            0.005182
                 148,            0.020913,           0.0098642,           0.0043139,             0.97975,             0.99509,             0.99113,             0.83443,            0.011095,           0.0036151,          0.00030851,            0.005149,            0.005149,            0.005149
                 149,            0.020049,            0.010047,           0.0041005,             0.97617,             0.99511,             0.99091,             0.84155,            0.011003,           0.0036826,          0.00028926,            0.005116,            0.005116,            0.005116
                 150,            0.019881,           0.0094991,             0.00438,             0.97992,             0.99196,             0.99298,             0.84803,             0.01088,           0.0036005,          0.00025135,            0.005083,            0.005083,            0.005083
                 151,             0.02031,            0.009639,           0.0037028,             0.98603,             0.99382,             0.99269,             0.84582,            0.011296,           0.0035936,          0.00022714,             0.00505,             0.00505,             0.00505
                 152,            0.021052,           0.0092437,           0.0039217,             0.98032,             0.99593,             0.99196,             0.85088,            0.010661,           0.0035444,          0.00023207,            0.005017,            0.005017,            0.005017
                 153,            0.019124,           0.0093061,           0.0055521,             0.97455,             0.99758,             0.99185,              0.8505,             0.01062,           0.0035609,          0.00023075,            0.004984,            0.004984,            0.004984
                 154,            0.019368,           0.0097256,           0.0051969,             0.97662,             0.99684,             0.99201,             0.84328,            0.011061,           0.0036788,          0.00023556,            0.004951,            0.004951,            0.004951
                 155,            0.019415,           0.0096138,           0.0036675,             0.97966,             0.99275,              0.9929,             0.84013,            0.010804,           0.0036372,          0.00023027,            0.004918,            0.004918,            0.004918
                 156,            0.018847,            0.010104,           0.0050947,             0.98208,             0.99303,             0.99148,             0.83881,            0.010353,           0.0036393,          0.00030555,            0.004885,            0.004885,            0.004885
                 157,            0.019485,           0.0095665,           0.0045834,             0.97738,             0.99758,             0.99075,             0.84658,            0.010652,           0.0035272,          0.00024217,            0.004852,            0.004852,            0.004852
